City,Aggregate rating
Inner City,4.9
Quezon City,4.8
Makati City,4.65
Pasig City,4.633333333333334
Mandaluyong City,4.625
Beechworth,4.6
London,4.535
Taguig City,4.525
Secunderabad,4.5
Lincoln,4.5
